"","year","state","division","total_population","fss","firearm_suicides","total_suicides","white_fss","nonwhite_fss"
"99",2011,"Washington","Pacific",6830038,0.488647581,495,1013,0.515675664,0
"101",2011,"Wisconsin","East North Central",5711767,0.47114094,351,745,0.478138208,0
"103",2012,"Alabama","East South Central",4822023,0.690607735,500,724,0.696540892,0.587499976
"104",2012,"Alaska","Pacific",731449,0.583333333,98,168,0.558823526,0.48888889
"105",2012,"Arizona","Mountain",6553255,0.573529412,663,1156,0.594021201,0.327272713
"106",2012,"Arkansas","West South Central",2949131,0.632989691,307,485,0.637583911,0.739130437
"107",2012,"California","Pacific",38041430,0.397893655,1549,3893,0.420689642,0.250453711
"108",2012,"Colorado","Mountain",5187582,0.506653992,533,1052,0.510040164,0.238095239
"110",2012,"Delaware","South Atlantic",917092,0.368,46,125,0.32710281,0
"111",2012,"District of Columbia","South Atlantic",632323,0.27027027,10,37,0,0
"112",2012,"Florida","South Atlantic",19317568,0.516322452,1550,3002,0.517104805,0.454545468
"113",2012,"Georgia","South Atlantic",9919945,0.642123288,750,1168,0.643145144,0.608433723
"114",2012,"Hawaii","Pacific",1392313,0.226315789,43,190,0.264367819,0.173469394
"116",2012,"Illinois","East North Central",12875255,0.379256966,490,1292,0.386130124,0.286956519
"117",2012,"Indiana","East North Central",6537334,0.545744681,513,940,0.55106622,0.365853667
"119",2012,"Kansas","West North Central",2885905,0.591633466,297,502,0.588235319,0.800000012
"120",2012,"Kentucky","East South Central",4380415,0.647790055,469,724,0.648766339,0.666666687
"121",2012,"Louisiana","West South Central",4601893,0.661375661,375,567,0.671428561,0.555555582
"123",2012,"Maryland","South Atlantic",5884563,0.468158348,272,581,0.484913796,0.394495428
"124",2012,"Massachusetts","New England",6646144,0.25,151,604,0.264388502,0
"125",2012,"Michigan","East North Central",9883360,0.494052339,623,1261,0.498233229,0.451923072
"126",2012,"Minnesota","West North Central",5379139,0.476190476,310,651,0.496644288,0
"127",2012,"Mississippi","East South Central",2984926,0.72195122,296,410,0.764204562,0.350877196
"128",2012,"Missouri","West North Central",6021988,0.597374179,546,914,0.603971958,0.589743614
"129",2012,"Montana","Mountain",1005141,0.656652361,153,233,0.685714304,0
"131",2012,"Nevada","Mountain",2758931,0.529980658,274,517,0.517316043,0.368421048
"133",2012,"New Jersey","Middle Atlantic",8864590,0.234604106,160,682,0.251282066,0.103092782
"134",2012,"New Mexico","Mountain",2085538,0.520361991,230,442,0.554959774,0.288135588
"135",2012,"New York","Middle Atlantic",19570261,0.302639296,516,1705,0.321045578,0.126760557
"136",2012,"North Carolina","South Atlantic",9752073,0.554773083,709,1278,0.563247859,0.356435657
"138",2012,"Ohio","East North Central",11544225,0.50843061,784,1542,0.515492976,0.378378391
"139",2012,"Oklahoma","West South Central",3814820,0.618975904,411,664,0.629116118,0.486842096
"140",2012,"Oregon","Pacific",3899353,0.506906077,367,724,0.515151501,0
"141",2012,"Pennsylvania","Middle Atlantic",12763536,0.49726776,819,1647,0.501643658,0.380165279
"143",2012,"South Carolina","South Atlantic",4723723,0.643387816,433,673,0.654605269,0.518518507
"144",2012,"South Dakota","West North Central",833354,0.539007092,76,141,0.538461566,0
"145",2012,"Tennessee","East South Central",6456243,0.6400818,626,978,0.646017671,0.587301612
"146",2012,"Texas","West South Central",26059203,0.574818721,1744,3034,0.578192234,0.508130074
"149",2012,"Virginia","South Atlantic",8185867,0.552730697,587,1062,0.565450668,0.404958665
"150",2012,"Washington","Pacific",6897012,0.513094083,529,1031,0.527484119,0
"152",2012,"Wisconsin","East North Central",5726398,0.481327801,348,723,0.489795923,0
"154",2013,"Alabama","East South Central",4833722,0.699029126,504,721,0.71406728,0.483870953
"155",2013,"Alaska","Pacific",735132,0.701754386,120,171,0.745283008,0.578947365
"156",2013,"Arizona","Mountain",6626624,0.563198624,655,1163,0.586935639,0.278260857
