"","year","state","handgun","long_gun","other","multiple * 2","Total_sales"
"6941",2010,"Georgia",6093,4332,87,516,11028
"6942",2010,"Guam",12,16,0,2,30
"6943",2010,"Hawaii",0,0,0,0,0
"6944",2010,"Idaho",1681,2762,28,212,4683
"6945",2010,"Illinois",7818,6701,1,784,15304
"6946",2010,"Indiana",7950,6307,228,608,15093
"6947",2010,"Iowa",54,1938,9,4,2005
"6948",2010,"Kansas",3638,3443,91,362,7534
"6949",2010,"Kentucky",5223,4634,90,798,10745
"6950",2010,"Louisiana",6170,5091,131,480,11872
"6951",2010,"Maine",1796,2188,28,190,4202
"6952",2010,"Mariana Islands",0,0,0,0,0
"6953",2010,"Maryland",2898,2663,16,20,5597
"6954",2010,"Massachusetts",2387,1464,80,150,4081
"6955",2010,"Michigan",1312,6790,98,80,8280
"6956",2010,"Minnesota",4255,6687,96,314,11352
"6957",2010,"Mississippi",3282,3117,57,378,6834
"6958",2010,"Missouri",11293,7782,200,956,20231
"6959",2010,"Montana",1979,3358,43,316,5696
"6960",2010,"Nebraska",66,1473,8,16,1563
"6961",2010,"Nevada",3399,2595,0,462,6456
"6962",2010,"New Hampshire",2075,1890,14,14,3993
"6963",2010,"New Jersey",2159,1552,0,152,3863
"6964",2010,"New Mexico",3141,2767,71,480,6459
"6965",2010,"New York",5010,8535,212,138,13895
"6966",2010,"North Carolina",226,6657,166,240,7289
"6967",2010,"North Dakota",686,1741,16,72,2515
"6968",2010,"Ohio",12808,8904,259,1026,22997
"6969",2010,"Oklahoma",6406,4550,158,900,12014
"6970",2010,"Oregon",6223,6549,0,888,13660
"6971",2010,"Pennsylvania",0,42880,0,232,43112
"6972",2010,"Puerto Rico",504,127,4,30,665
"6973",2010,"Rhode Island",531,433,15,130,1109
"6974",2010,"South Carolina",4560,2818,49,264,7691
"6975",2010,"South Dakota",1177,2174,15,152,3518
"6976",2010,"Tennessee",11699,6858,0,906,19463
"6977",2010,"Texas",24420,19503,549,2440,46912
"6978",2010,"Utah",1910,2565,0,228,4703
"6979",2010,"Vermont",684,716,8,50,1458
"6980",2010,"Virgin Islands",18,1,0,0,19
"6981",2010,"Virginia",9347,6917,0,776,17040
"6982",2010,"Washington",9015,7126,274,744,17159
"6983",2010,"West Virginia",3599,3615,64,444,7722
"6984",2010,"Wisconsin",4254,6869,89,6,11218
"6985",2010,"Wyoming",1156,1439,18,92,2705
"6986",2010,"Alabama",8028,6946,150,742,15866
"6987",2010,"Alaska",2298,2552,39,236,5125
"6988",2010,"Arizona",7261,4744,143,576,12724
"6989",2010,"Arkansas",3353,3225,41,334,6953
"6990",2010,"California",19464,20997,0,0,40461
